,FIPS Code,JUL21 SNAP Households
851,20133,795
852,20135,55
853,20137,136
854,20139,567
855,20141,104
856,20143,137
857,20145,208
858,20147,110
859,20149,366
860,20151,201
861,20153,45
862,20155,2599
863,20157,106
864,20159,297
865,20161,1245
866,20163,101
867,20165,113
868,20167,240
869,20169,2301
870,20171,77
871,20173,25887
872,20175,616
873,20177,8953
874,20179,30
875,20181,214
876,20183,96
877,20185,107
878,20187,18
879,20189,81
880,20191,869
881,20193,135
882,20195,49
883,20197,105
884,20199,26
885,20201,93
886,20203,45
887,20205,439
888,20207,103
889,20209,9192
890,21001,1567
891,21003,1165
892,21005,767
893,21007,407
894,21009,2840
895,21011,1111
896,21013,3744
897,21015,2779
898,21017,1381
899,21019,3498
900,21021,1645
901,21023,503
902,21025,2023
903,21027,1241
904,21029,2560
905,21031,876
906,21033,749
907,21035,1400
908,21037,2901
909,21039,275
910,21041,682
911,21043,2246
912,21045,1347
913,21047,4206
914,21049,2476
915,21051,3199
916,21053,1059
917,21055,417
918,21057,634
919,21059,5063
920,21061,732
921,21063,687
922,21065,1580
923,21067,14176
924,21069,1072
925,21071,4535
926,21073,2559
927,21075,723
928,21077,336
929,21079,1018
930,21081,1279
931,21083,2140
932,21085,1799
933,21087,750
934,21089,2038
935,21091,362
936,21093,4971
937,21095,3890
938,21097,1025
939,21099,1361
940,21101,2592
941,21103,706
942,21105,285
943,21107,2936
944,21109,1625
945,21111,43211
946,21113,2544
947,21115,2381
948,21117,6614
949,21119,1998
950,21121,4464
951,21123,803
952,21125,5250
953,21127,1752
954,21129,990
955,21131,1332
956,21133,2669
957,21135,1266
958,21137,1815
959,21139,442
960,21141,1591
961,21143,307
962,21145,4056
963,21147,2066
964,21149,435
965,21151,5075
966,21153,1779
967,21155,1304
968,21157,1321
969,21159,1385
970,21161,1343
971,21163,1114
972,21165,656
973,21167,1071
974,21169,820
975,21171,818
976,21173,2155
977,21175,1072
978,21177,1960
979,21179,2004
980,21181,519
981,21183,1416
982,21185,664
983,21187,577
984,21189,852
985,21191,706
986,21193,3754
987,21195,6273
988,21197,1329
989,21199,5043
990,21201,151
991,21203,1599
992,21205,1936
993,21207,1641
994,21209,1877
995,21211,1307
996,21213,949
997,21215,457
998,21217,1976
999,21219,662
1000,21221,637
1001,21223,342
1002,21225,760
1003,21227,6659
1004,21229,959
1005,21231,2171
1006,21233,716
1007,21235,3950
1008,21237,1019
1009,21239,909
1010,22001,6551
1011,22003,1963
1012,22005,6053
1013,22007,2009
1014,22009,4899
1015,22011,2308
1016,22013,1481
1017,22015,7524
1018,22017,25361
1019,22019,12864
1020,22021,1003
1021,22023,242
1022,22025,1135
1023,22027,1640
1024,22029,2531
1025,22031,2517
1026,22033,37757
1027,22035,1055
1028,22037,1446
1029,22039,4120
1030,22041,2620
1031,22043,1679
1032,22045,8019
1033,22047,3359
1034,22049,1355
1035,22051,33547
1036,22053,2544
1037,22055,17879
1038,22057,7526
1039,22059,1029
1040,22061,3821
1041,22063,8548
1042,22065,1563
1043,22067,3667
1044,22069,4087
1045,22071,44675
1046,22073,16403
1047,22075,1311
1048,22077,1949
1049,22079,12369
1050,22081,978
1051,22083,2278
1052,22085,2176
1053,22087,4555
1054,22089,2882
1055,22091,1580
1056,22093,1743
1057,22095,4648
1058,22097,11009
1059,22099,5125
1060,22101,5505
1061,22103,11798
1062,22105,13124
1063,22107,685
1064,22109,10391
1065,22111,1926
1066,22113,5222
1067,22115,2715
1068,22117,5682
1069,22119,3894
1070,22121,2046
1071,22123,1127
1072,22125,636
1073,22127,1355
