,FIPS,Jan22 SNAP Households
679,18171,200.0
680,18173,1125.0
681,18175,989.0
682,18177,4501.0
683,18179,729.0
684,18181,747.0
685,18183,651.0
686,19001,254.0
687,19003,147.0
688,19005,414.0
689,19007,819.0
690,19009,218.0
691,19011,840.0
692,19013,7881.0
693,19015,796.0
694,19017,518.0
695,19019,664.0
696,19021,671.0
697,19023,418.0
698,19025,320.0
699,19027,664.0
700,19029,691.0
701,19031,413.0
702,19033,2185.0
703,19035,332.0
704,19037,277.0
705,19039,439.0
706,19041,659.0
707,19043,494.0
708,19045,3041.0
709,19047,574.0
710,19049,1354.0
711,19051,242.0
712,19053,420.0
713,19055,471.0
714,19057,2784.0
715,19059,503.0
716,19061,3933.0
717,19063,333.0
718,19065,1074.0
719,19067,771.0
720,19069,370.0
721,19071,322.0
722,19073,440.0
723,19075,238.0
724,19077,358.0
725,19079,475.0
726,19081,290.0
727,19083,711.0
728,19085,584.0
729,19087,964.0
730,19089,268.0
731,19091,319.0
732,19093,216.0
733,19095,425.0
734,19097,790.0
735,19099,1617.0
736,19101,949.0
737,19103,4679.0
738,19105,673.0
739,19107,481.0
740,19109,457.0
741,19111,2339.0
742,19113,10650.0
743,19115,370.0
744,19117,409.0
745,19119,187.0
746,19121,376.0
747,19123,1075.0
748,19125,990.0
749,19127,1815.0
750,19129,449.0
751,19131,253.0
752,19133,373.0
753,19135,307.0
754,19137,633.0
755,19139,2363.0
756,19141,411.0
757,19143,184.0
758,19145,748.0
759,19147,295.0
760,19149,520.0
761,19151,268.0
762,19153,26163.0
763,19155,5971.0
764,19157,581.0
765,19159,204.0
766,19161,271.0
767,19163,10791.0
768,19165,390.0
769,19167,481.0
770,19169,2099.0
771,19171,617.0
772,19173,277.0
773,19175,732.0
774,19177,307.0
775,19179,2645.0
776,19181,1088.0
777,19183,733.0
778,19185,271.0
779,19187,2311.0
780,19189,318.0
781,19191,385.0
782,19193,5819.0
783,19195,242.0
784,19197,507.0
785,20001,737.0
786,20003,236.0
787,20005,646.0
788,20007,105.0
789,20009,1107.0
790,20011,866.0
791,20013,421.0
792,20015,1954.0
793,20017,59.0
794,20019,194.0
795,20021,1136.0
796,20023,43.0
797,20025,43.0
798,20027,183.0
799,20029,307.0
800,20031,301.0
801,20033,37.0
802,20035,1978.0
803,20037,2236.0
804,20039,82.0
805,20041,522.0
806,20043,219.0
807,20045,2715.0
808,20047,85.0
809,20049,118.0
810,20051,608.0
811,20053,122.0
812,20055,1123.0
813,20057,890.0
814,20059,959.0
815,20061,1279.0
816,20063,22.0
817,20065,77.0
818,20067,150.0
819,20069,57.0
820,20071,19.0
821,20073,295.0
822,20075,47.0
823,20077,214.0
824,20079,1149.0
825,20081,57.0
826,20083,26.0
827,20085,337.0
828,20087,349.0
829,20089,74.0
830,20091,6271.0
831,20093,71.0
832,20095,162.0
833,20097,66.0
834,20099,1245.0
835,20101,42.0
836,20103,1646.0
837,20105,83.0
838,20107,426.0
839,20109,66.0
840,20111,1149.0
841,20113,590.0
842,20115,275.0
843,20117,240.0
844,20119,81.0
845,20121,813.0
846,20123,138.0
847,20125,2000.0
848,20127,145.0
849,20129,62.0
850,20131,150.0
851,20133,853.0
852,20135,42.0
853,20137,151.0
854,20139,583.0
855,20141,110.0
856,20143,128.0
857,20145,205.0
858,20147,106.0
859,20149,356.0
860,20151,196.0
861,20153,44.0
862,20155,2620.0
863,20157,115.0
864,20159,281.0
865,20161,1277.0
866,20163,108.0
867,20165,101.0
868,20167,246.0
869,20169,2309.0
870,20171,91.0
