,FIPS,JAN22 SNAP Households,State Name,County Name,Sep22 ACP Total Subscribers
173,06029,72076.0,CALIFORNIA,KERN COUNTY,71581.0
174,06031,11798.0,CALIFORNIA,KINGS COUNTY,7314.0
175,06033,8187.0,CALIFORNIA,LAKE COUNTY,3526.0
176,06035,1894.0,CALIFORNIA,LASSEN COUNTY,438.0
177,06037,816595.0,CALIFORNIA,LOS ANGELES COUNTY,574801.0
178,06039,13077.0,CALIFORNIA,MADERA COUNTY,7323.0
179,06041,8511.0,CALIFORNIA,MARIN COUNTY,3073.0
180,06043,1538.0,CALIFORNIA,MARIPOSA COUNTY,456.0
181,06045,8221.0,CALIFORNIA,MENDOCINO COUNTY,2653.0
182,06047,25937.0,CALIFORNIA,MERCED COUNTY,15017.0
183,06049,851.0,CALIFORNIA,MODOC COUNTY,252.0
184,06051,392.0,CALIFORNIA,MONO COUNTY,39.0
185,06053,21231.0,CALIFORNIA,MONTEREY COUNTY,11833.0
186,06055,4321.0,CALIFORNIA,NAPA COUNTY,1814.0
187,06057,5395.0,CALIFORNIA,NEVADA COUNTY,1774.0
188,06059,154442.0,CALIFORNIA,ORANGE COUNTY,108232.0
189,06061,11776.0,CALIFORNIA,PLACER COUNTY,5288.0
190,06063,1396.0,CALIFORNIA,PLUMAS COUNTY,263.0
191,06065,131527.0,CALIFORNIA,RIVERSIDE COUNTY,118381.0
192,06067,123005.0,CALIFORNIA,SACRAMENTO COUNTY,70113.0
193,06069,2856.0,CALIFORNIA,SAN BENITO COUNTY,1518.0
194,06071,152210.0,CALIFORNIA,SAN BERNARDINO COUNTY,131745.0
195,06073,215190.0,CALIFORNIA,SAN DIEGO COUNTY,123719.0
196,06075,65816.0,CALIFORNIA,SAN FRANCISCO COUNTY,30380.0
197,06077,52395.0,CALIFORNIA,SAN JOAQUIN COUNTY,34457.0
198,06079,12849.0,CALIFORNIA,SAN LUIS OBISPO COUNTY,7257.0
199,06081,17923.0,CALIFORNIA,SAN MATEO COUNTY,8548.0
200,06083,28538.0,CALIFORNIA,SANTA BARBARA COUNTY,12703.0
201,06085,70026.0,CALIFORNIA,SANTA CLARA COUNTY,37674.0
202,06087,17923.0,CALIFORNIA,SANTA CRUZ COUNTY,6981.0
203,06089,14682.0,CALIFORNIA,SHASTA COUNTY,10403.0
204,06091,195.0,CALIFORNIA,SIERRA COUNTY,34.0
205,06093,4625.0,CALIFORNIA,SISKIYOU COUNTY,1856.0
206,06095,28194.0,CALIFORNIA,SOLANO COUNTY,11457.0
207,06097,20368.0,CALIFORNIA,SONOMA COUNTY,8424.0
208,06099,37367.0,CALIFORNIA,STANISLAUS COUNTY,26107.0
209,06101,6061.0,CALIFORNIA,SUTTER COUNTY,4530.0
210,06103,5605.0,CALIFORNIA,TEHAMA COUNTY,3289.0
211,06105,1400.0,CALIFORNIA,TRINITY COUNTY,172.0
212,06107,52781.0,CALIFORNIA,TULARE COUNTY,27851.0
213,06109,3498.0,CALIFORNIA,TUOLUMNE COUNTY,1250.0
214,06111,36809.0,CALIFORNIA,VENTURA COUNTY,28159.0
215,06113,14438.0,CALIFORNIA,YOLO COUNTY,5792.0
216,06115,8156.0,CALIFORNIA,YUBA COUNTY,4641.0
217,08003,2411.0,COLORADO,ALAMOSA COUNTY,1636.0
218,08007,777.0,COLORADO,ARCHULETA COUNTY,105.0
219,08009,323.0,COLORADO,BACA COUNTY,87.0
220,08011,522.0,COLORADO,BENT COUNTY,351.0
221,08013,9494.0,COLORADO,BOULDER COUNTY,5962.0
222,08015,952.0,COLORADO,CHAFFEE COUNTY,440.0
223,08017,85.0,COLORADO,CHEYENNE COUNTY,14.0
224,08019,339.0,COLORADO,CLEAR CREEK COUNTY,169.0
225,08021,821.0,COLORADO,CONEJOS COUNTY,283.0
226,08023,660.0,COLORADO,COSTILLA COUNTY,258.0
227,08025,527.0,COLORADO,CROWLEY COUNTY,165.0
228,08027,264.0,COLORADO,CUSTER COUNTY,50.0
229,08029,2182.0,COLORADO,DELTA COUNTY,1120.0
230,08031,42910.0,COLORADO,DENVER COUNTY,29574.0
231,08033,135.0,COLORADO,DOLORES COUNTY,14.0
232,08035,3549.0,COLORADO,DOUGLAS COUNTY,2109.0
233,08037,674.0,COLORADO,EAGLE COUNTY,189.0
234,08039,406.0,COLORADO,ELBERT COUNTY,135.0
235,08041,37703.0,COLORADO,EL PASO COUNTY,22261.0
236,08043,3943.0,COLORADO,FREMONT COUNTY,2742.0
237,08045,2098.0,COLORADO,GARFIELD COUNTY,862.0
238,08047,272.0,COLORADO,GILPIN COUNTY,56.0
239,08049,243.0,COLORADO,GRAND COUNTY,97.0
240,08051,593.0,COLORADO,GUNNISON COUNTY,297.0
241,08053,11.0,COLORADO,HINSDALE COUNTY,2.0
242,08055,992.0,COLORADO,HUERFANO COUNTY,631.0
243,08057,58.0,COLORADO,JACKSON COUNTY,11.0
244,08059,16989.0,COLORADO,JEFFERSON COUNTY,11342.0
245,08061,96.0,COLORADO,KIOWA COUNTY,14.0
246,08063,416.0,COLORADO,KIT CARSON COUNTY,90.0
247,08065,260.0,COLORADO,LAKE COUNTY,235.0
248,08067,2295.0,COLORADO,LA PLATA COUNTY,1129.0
249,08069,13963.0,COLORADO,LARIMER COUNTY,7128.0
250,08071,1829.0,COLORADO,LAS ANIMAS COUNTY,1122.0
251,08073,349.0,COLORADO,LINCOLN COUNTY,62.0
252,08075,1447.0,COLORADO,LOGAN COUNTY,1102.0
253,08077,9792.0,COLORADO,MESA COUNTY,8932.0
254,08079,38.0,COLORADO,MINERAL COUNTY,4.0
255,08081,750.0,COLORADO,MOFFAT COUNTY,535.0
256,08083,2284.0,COLORADO,MONTEZUMA COUNTY,664.0
257,08085,2738.0,COLORADO,MONTROSE COUNTY,1466.0
258,08087,1566.0,COLORADO,MORGAN COUNTY,1071.0
259,08089,2269.0,COLORADO,OTERO COUNTY,1913.0
260,08091,117.0,COLORADO,OURAY COUNTY,17.0
261,08093,737.0,COLORADO,PARK COUNTY,153.0
262,08095,220.0,COLORADO,PHILLIPS COUNTY,52.0
263,08097,193.0,COLORADO,PITKIN COUNTY,76.0
264,08099,1340.0,COLORADO,PROWERS COUNTY,888.0
265,08101,20986.0,COLORADO,PUEBLO COUNTY,13226.0
266,08103,324.0,COLORADO,RIO BLANCO COUNTY,80.0
267,08105,1200.0,COLORADO,RIO GRANDE COUNTY,662.0
268,08107,341.0,COLORADO,ROUTT COUNTY,94.0
269,08109,718.0,COLORADO,SAGUACHE COUNTY,210.0
270,08111,24.0,COLORADO,SAN JUAN COUNTY,1.0
271,08113,162.0,COLORADO,SAN MIGUEL COUNTY,48.0
272,08115,207.0,COLORADO,SEDGWICK COUNTY,43.0
273,08117,443.0,COLORADO,SUMMIT COUNTY,160.0
274,08119,1285.0,COLORADO,TELLER COUNTY,306.0
275,08121,265.0,COLORADO,WASHINGTON COUNTY,44.0
276,08123,14107.0,COLORADO,WELD COUNTY,7462.0
277,08125,575.0,COLORADO,YUMA COUNTY,60.0
278,08127,25542.0,,,
279,08129,27140.0,,,
280,08131,1400.0,,,
281,09000,215898.0,,,
282,10001,15178.0,DELAWARE,KENT COUNTY,6218.0
283,10002,34765.0,,,
284,10003,8825.0,DELAWARE,NEW CASTLE COUNTY,17157.0
285,11001,90324.0,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,42939.0
286,12001,17764.0,FLORIDA,ALACHUA COUNTY,14452.0
287,12003,1907.0,FLORIDA,BAKER COUNTY,920.0
288,12005,11978.0,FLORIDA,BAY COUNTY,6406.0
289,12007,2285.0,FLORIDA,BRADFORD COUNTY,1100.0
290,12009,33784.0,FLORIDA,BREVARD COUNTY,31099.0
291,12011,130413.0,FLORIDA,BROWARD COUNTY,59039.0
292,12013,1169.0,FLORIDA,CALHOUN COUNTY,699.0
293,12015,7591.0,FLORIDA,CHARLOTTE COUNTY,4044.0
294,12017,10815.0,FLORIDA,CITRUS COUNTY,11824.0
295,12019,9507.0,FLORIDA,CLAY COUNTY,4791.0
296,12021,9884.0,FLORIDA,COLLIER COUNTY,4689.0
297,12023,6841.0,FLORIDA,COLUMBIA COUNTY,3916.0
298,12025,360219.0,,,
299,12027,2458.0,FLORIDA,DESOTO COUNTY,973.0
300,12029,1837.0,FLORIDA,DIXIE COUNTY,1083.0
301,12031,79690.0,FLORIDA,DUVAL COUNTY,48277.0
302,12033,25183.0,FLORIDA,ESCAMBIA COUNTY,19942.0
303,12035,5943.0,FLORIDA,FLAGLER COUNTY,4856.0
304,12037,763.0,FLORIDA,FRANKLIN COUNTY,296.0
305,12039,5414.0,FLORIDA,GADSDEN COUNTY,3303.0
306,12041,1402.0,FLORIDA,GILCHRIST COUNTY,638.0
307,12045,974.0,FLORIDA,GULF COUNTY,402.0
308,12047,1224.0,FLORIDA,HAMILTON COUNTY,816.0
309,12049,2307.0,FLORIDA,HARDEE COUNTY,1144.0
310,12051,4561.0,FLORIDA,HENDRY COUNTY,1866.0
311,12053,14374.0,FLORIDA,HERNANDO COUNTY,13298.0
312,12055,9272.0,FLORIDA,HIGHLANDS COUNTY,4620.0
313,12057,106522.0,FLORIDA,HILLSBOROUGH COUNTY,94319.0
314,12059,1936.0,FLORIDA,HOLMES COUNTY,824.0
315,12061,7944.0,FLORIDA,INDIAN RIVER COUNTY,4387.0
316,12063,4089.0,FLORIDA,JACKSON COUNTY,2839.0
317,12065,976.0,FLORIDA,JEFFERSON COUNTY,620.0
318,12067,443.0,FLORIDA,LAFAYETTE COUNTY,293.0
319,12069,21881.0,FLORIDA,LAKE COUNTY,13354.0
320,12071,41931.0,FLORIDA,LEE COUNTY,17254.0
321,12073,19580.0,FLORIDA,LEON COUNTY,11662.0
322,12075,3805.0,FLORIDA,LEVY COUNTY,1956.0
323,12077,616.0,FLORIDA,LIBERTY COUNTY,391.0
324,12079,1512.0,FLORIDA,MADISON COUNTY,1104.0
325,12081,17582.0,FLORIDA,MANATEE COUNTY,17620.0
326,12083,29045.0,FLORIDA,MARION COUNTY,22462.0
327,12085,5570.0,FLORIDA,MARTIN COUNTY,2618.0
328,12087,4100.0,FLORIDA,MONROE COUNTY,1011.0
329,12089,3557.0,FLORIDA,NASSAU COUNTY,1941.0
330,12091,8361.0,FLORIDA,OKALOOSA COUNTY,5671.0
331,12093,3772.0,FLORIDA,OKEECHOBEE COUNTY,1490.0
332,12095,103500.0,FLORIDA,ORANGE COUNTY,89571.0
333,12097,35659.0,FLORIDA,OSCEOLA COUNTY,26936.0
334,12099,79983.0,FLORIDA,PALM BEACH COUNTY,33537.0
335,12101,33600.0,FLORIDA,PASCO COUNTY,33871.0
336,12103,54935.0,FLORIDA,PINELLAS COUNTY,55846.0
337,12105,66547.0,FLORIDA,POLK COUNTY,55889.0
338,12107,8397.0,FLORIDA,PUTNAM COUNTY,5910.0
339,12109,6569.0,FLORIDA,ST. JOHNS COUNTY,3210.0
340,12111,21633.0,FLORIDA,ST. LUCIE COUNTY,12685.0
341,12113,7116.0,FLORIDA,SANTA ROSA COUNTY,3722.0
342,12115,14125.0,FLORIDA,SARASOTA COUNTY,7301.0
343,12117,21519.0,FLORIDA,SEMINOLE COUNTY,23794.0
344,12119,4532.0,FLORIDA,SUMTER COUNTY,3661.0
345,12121,4074.0,FLORIDA,SUWANNEE COUNTY,2391.0
346,12123,2413.0,FLORIDA,TAYLOR COUNTY,1123.0
347,12125,1007.0,FLORIDA,UNION COUNTY,622.0
348,12127,40778.0,FLORIDA,VOLUSIA COUNTY,38595.0
349,12129,1651.0,FLORIDA,WAKULLA COUNTY,784.0
350,12131,3054.0,FLORIDA,WALTON COUNTY,2537.0
351,12133,1621.0,FLORIDA,WASHINGTON COUNTY,1414.0
352,13001,1847.0,GEORGIA,APPLING COUNTY,953.0
353,13003,882.0,GEORGIA,ATKINSON COUNTY,309.0
354,13005,1168.0,GEORGIA,BACON COUNTY,773.0
355,13007,466.0,GEORGIA,BAKER COUNTY,224.0
356,13009,4175.0,GEORGIA,BALDWIN COUNTY,3814.0
357,13011,1099.0,GEORGIA,BANKS COUNTY,700.0
358,13013,4761.0,GEORGIA,BARROW COUNTY,2698.0
359,13015,7080.0,GEORGIA,BARTOW COUNTY,3754.0
360,13017,2172.0,GEORGIA,BEN HILL COUNTY,1243.0
361,13019,1846.0,GEORGIA,BERRIEN COUNTY,1026.0
362,13021,20885.0,GEORGIA,BIBB COUNTY,17942.0
363,13023,1117.0,GEORGIA,BLECKLEY COUNTY,482.0
364,13025,1933.0,GEORGIA,BRANTLEY COUNTY,663.0
365,13027,1889.0,GEORGIA,BROOKS COUNTY,1265.0
366,13029,1807.0,GEORGIA,BRYAN COUNTY,909.0
367,13031,6602.0,GEORGIA,BULLOCH COUNTY,3203.0
368,13033,2961.0,GEORGIA,BURKE COUNTY,1829.0
369,13035,2097.0,GEORGIA,BUTTS COUNTY,1447.0
370,13037,745.0,GEORGIA,CALHOUN COUNTY,384.0
371,13039,2918.0,GEORGIA,CAMDEN COUNTY,1332.0
372,13043,1182.0,GEORGIA,CANDLER COUNTY,642.0
373,13045,9150.0,GEORGIA,CARROLL COUNTY,6556.0
374,13047,3594.0,GEORGIA,CATOOSA COUNTY,2530.0
375,13049,980.0,GEORGIA,CHARLTON COUNTY,503.0
376,13051,23025.0,GEORGIA,CHATHAM COUNTY,13334.0
377,13053,392.0,GEORGIA,CHATTAHOOCHEE COUNTY,322.0
378,13055,2885.0,GEORGIA,CHATTOOGA COUNTY,2445.0
379,13057,6103.0,GEORGIA,CHEROKEE COUNTY,3163.0
380,13059,8395.0,GEORGIA,CLARKE COUNTY,8723.0
381,13061,527.0,GEORGIA,CLAY COUNTY,237.0
382,13063,35757.0,GEORGIA,CLAYTON COUNTY,22770.0
383,13065,805.0,GEORGIA,CLINCH COUNTY,536.0
384,13067,31199.0,GEORGIA,COBB COUNTY,17545.0
385,13069,4464.0,GEORGIA,COFFEE COUNTY,2844.0
386,13071,5265.0,GEORGIA,COLQUITT COUNTY,2956.0
387,13073,4568.0,GEORGIA,COLUMBIA COUNTY,2714.0
388,13075,1870.0,GEORGIA,COOK COUNTY,1026.0
389,13077,6825.0,GEORGIA,COWETA COUNTY,5466.0
390,13079,1071.0,GEORGIA,CRAWFORD COUNTY,519.0
391,13081,3177.0,GEORGIA,CRISP COUNTY,1897.0
392,13083,898.0,GEORGIA,DADE COUNTY,579.0
393,13085,1026.0,GEORGIA,DAWSON COUNTY,563.0
394,13087,3666.0,GEORGIA,DECATUR COUNTY,1920.0
395,13089,65120.0,GEORGIA,DEKALB COUNTY,37809.0
